conversation_num,task_type,speaker_name,timestamp,message,fracture
5d6ecaaa1587634cee40f865,cognitive-conflic,Person4,299,would need to replace them every 3-4 years so that'd be a big burden,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person3,312,Yes sounds good to me,True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person2,334,"OK, I will go for that.",True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person1,528,"1: 200K because it would cost a lot of money to implement effectively.  2: 150K because libraries are an important part of community infastructure, especially for elderly and lower income member. 3: 150K because tourism is important to bring income to the community.",True
5d6ecaaa1587634cee40f865,cognitive-conflic,Person3,550," 1: 200K because it would cost a lot of money to implement effectively. 2: 150K because libraries are an important part of community infastructure, especially for elderly and lower income member. 3: 150K because tourism is important to bring income to the community.",True
5d6ecaaa1587634cee40f866,intellective,Person1,19,hello,False
5d6ecaaa1587634cee40f866,intellective,Person2,22,hi,False
5d6ecaaa1587634cee40f866,intellective,Person3,27,Hey all,False
5d6ecaaa1587634cee40f866,intellective,Person3,40,Does anyone live near Mt. McKinley?,False
5d6ecaaa1587634cee40f866,intellective,Person1,74,i would say the height of mt mckinley is around 18k feet?,False
5d6ecaaa1587634cee40f866,intellective,Person3,88,"I live in Utah and I know the tallest Mt here is 13,500",False
5d6ecaaa1587634cee40f866,intellective,Person3,93,I'm sure Mckinley is much higher,False
5d6ecaaa1587634cee40f866,intellective,Person3,103,I'd be okay with anywhere between 16-18k,False
5d6ecaaa1587634cee40f866,intellective,Person2,109,"20,237 feet (6,168 metres) ",False
5d6ecaaa1587634cee40f866,intellective,Person3,127,How do you know that Person1 ,False
5d6ecaaa1587634cee40f866,intellective,Person1,128,thats very precise lol,False
5d6ecaaa1587634cee40f866,intellective,Person2,159,"yea, I studies this for my exam",False
5d6ecaaa1587634cee40f866,intellective,Person3,166,Great.,False
5d6ecaaa1587634cee40f866,intellective,Person3,169,Let's move on to #2,False
5d6ecaaa1587634cee40f866,intellective,Person1,169,oh wow. nice!,False
5d6ecaaa1587634cee40f866,intellective,Person3,181,My guess would be 30%?,False
5d6ecaaa1587634cee40f866,intellective,Person2,194,I agree with 30,False
5d6ecaaa1587634cee40f866,intellective,Person1,199,yes i do too,False
5d6ecaaa1587634cee40f866,intellective,Person3,217,Any guess for #3?,False
5d6ecaaa1587634cee40f866,intellective,Person4,223,"30 seems high, maybe more like 20%?",False
5d6ecaaa1587634cee40f866,intellective,Person3,234,Let's settle with 25%?,False
5d6ecaaa1587634cee40f866,intellective,Person2,239,cool,False
5d6ecaaa1587634cee40f866,intellective,Person1,247,median age in us i would say about 31?,False
5d6ecaaa1587634cee40f866,intellective,Person2,308,I think higher,False
5d6ecaaa1587634cee40f866,intellective,Person3,310,I'm thinking a little higher with all the baby boomers?,False
5d6ecaaa1587634cee40f866,intellective,Person3,318,36?,False
5d6ecaaa1587634cee40f866,intellective,Person1,330,we could go with that,False
5d6ecaaa1587634cee40f866,intellective,Person2,334,k,False
5d6ecaaa1587634cee40f866,intellective,Person1,353," #4 is close to 200, no?",False
5d6ecaaa1587634cee40f866,intellective,Person3,357,no clue,False
5d6ecaaa1587634cee40f866,intellective,Person4,370,200 sounds about right,False
5d6ecaaa1587634cee40f866,intellective,Person3,370,That's a lot. I was going to guess around 100,False
5d6ecaaa1587634cee40f866,intellective,Person3,375,I'm fine with 200,False
5d6ecaaa1587634cee40f866,intellective,Person1,387,do u want to go with 150?,False
5d6ecaaa1587634cee40f866,intellective,Person3,395,How about 175? :),False
5d6ecaaa1587634cee40f866,intellective,Person1,404,perfect. #5?,False
5d6ecaaa1587634cee40f866,intellective,Person2,410,190 ,False
5d6ecaaa1587634cee40f866,intellective,Person1,410,98% lol,False
5d6ecaaa1587634cee40f866,intellective,Person3,427,95%?,False
5d6ecaaa1587634cee40f866,intellective,Person2,433,90 i don't think old people go online,False
5d6ecaaa1587634cee40f866,intellective,Person2,442,and Person2 kids,False
5d6ecaaa1587634cee40f866,intellective,Person3,456,"A lot of ""adults"" are elderly and in care centers.. or too old for computers",False
5d6ecaaa1587634cee40f866,intellective,Person4,484,90 maybe?,False
5d6ecaaa1587634cee40f866,intellective,Person3,492,Let's go with 90,False
5d6ecaaa1587634cee40f866,intellective,Person1,493,90,False
5d6ecaaa1587634cee40f866,intellective,Person1,504,#1 is 20k ft #2 30% #3 36 #4 175 #5 90%,False
5d6ecaaa1587634cee40f866,intellective,Person1,528,"1 20,000",False
5d6ecaaa1587634cee40f866,intellective,Person2,538,"1:20,00",False
5d6ecaaa1587634cee40f866,intellective,Person1,540,2: 30%,False
5d6ecaaa1587634cee40f866,intellective,Person2,545,2:30,False
5d6ecaaa1587634cee40f866,intellective,Person1,547,3: 36,False
5d6ecaaa1587634cee40f866,intellective,Person2,551,3:36,False
5d6ecaaa1587634cee40f866,intellective,Person3,551,Thanks Person3 ,False
5d6ecaaa1587634cee40f866,intellective,Person1,554,4: 175,False
5d6ecaaa1587634cee40f866,intellective,Person1,559,5: 90%,False
5d6ecaaa1587634cee40f866,intellective,Person2,561,4:175,False
5d6ecaaa1587634cee40f866,intellective,Person2,566,5: 90,False
5d6ecaaa1587634cee40f866,intellective,Person4,583,"1: 20,000",False
5d6ecaaa1587634cee40f867,intellective,Person1,28,Hello.,False
5d6ecaaa1587634cee40f867,intellective,Person2,28,1. 2800,False
5d6ecaaa1587634cee40f867,intellective,Person2,39,2. 9',False
5d6ecaaa1587634cee40f867,intellective,Person2,53,3. 6,False
5d6ecaaa1587634cee40f867,intellective,Person2,71,4. 4,False
5d6ecaaa1587634cee40f867,intellective,Person3,74,5 could be like 120?,False
5d6ecaaa1587634cee40f867,intellective,Person3,78,Maybe more,False
5d6ecaaa1587634cee40f867,intellective,Person2,80,5. 125,False
5d6ecaaa1587634cee40f867,intellective,Person1,133,"So, are there any objections to those answers?",False
5d6ecaaa1587634cee40f867,intellective,Person3,148,2 should be a weight,False
5d6ecaaa1587634cee40f867,intellective,Person4,148,im good with all,False
5d6ecaaa1587634cee40f867,intellective,Person3,162,like tons or pounds,False
5d6ecaaa1587634cee40f867,intellective,Person2,174,"ahh, yes...read that wrong, sorry",False
5d6ecaaa1587634cee40f867,intellective,Person1,178,"Yeah, what is 2? Is that supposed to say tons?",False
5d6ecaaa1587634cee40f867,intellective,Person1,182,Haha.,False
5d6ecaaa1587634cee40f867,intellective,Person2,200,so I'd say 4000lbs,False
5d6ecaaa1587634cee40f867,intellective,Person1,246,"I don't have much of a clue, so I can go with that.",False
5d6ecaaa1587634cee40f867,intellective,Person1,284,"Also never heard of Tromoso, Norway. It must be far north of the country, I assume?",False
5d6ecaaa1587634cee40f867,intellective,Person2,306,"me neither...yeah, I'm guessing it's far north",False
5d6ecaaa1587634cee40f867,intellective,Person3,364,4 months sounds good to me on that one,False
5d6ecaaa1587634cee40f867,intellective,Person2,374,k,False
5d6ecaaa1587634cee40f867,intellective,Person3,443,"florida, alabama, mississippi, Louisiana, texas what am i missing ",False
5d6ecaaa1587634cee40f867,intellective,Person2,466,Oklahoma?,False
5d6ecaaa1587634cee40f867,intellective,Person1,478,I assume Georgia has a bit of coastline with the Gulf?,False
5d6ecaaa1587634cee40f867,intellective,Person1,499,Or wait. No...?,False
5d6ecaaa1587634cee40f867,intellective,Person2,506,1: 2800,False
5d6ecaaa1587634cee40f867,intellective,Person1,510,It might only be 5.,False
5d6ecaaa1587634cee40f867,intellective,Person2,518,2: 4000,False
5d6ecaaa1587634cee40f867,intellective,Person2,523,3: 4,False
5d6ecaaa1587634cee40f867,intellective,Person2,531,4: 4,False
5d6ecaaa1587634cee40f867,intellective,Person2,535,5: 125,False
5d6ecaaa1587634cee40f867,intellective,Person2,559,3: 5,False
5d6ecaaa1587634cee40f867,intellective,Person3,559,3. 5,False
5d6ecaaa1587634cee40f868,intellective,Person1,23,1.  3000,False
5d6ecaaa1587634cee40f868,intellective,Person2,25,"Hello, so what are your thoughs on question #1?",False
5d6ecaaa1587634cee40f868,intellective,Person3,31,I'd say more that 3000,False
5d6ecaaa1587634cee40f868,intellective,Person4,32,1: 3000,False
5d6ecaaa1587634cee40f868,intellective,Person2,38,Maybe 3500?,False
5d6ecaaa1587634cee40f868,intellective,Person4,59,2. 4000,False
5d6ecaaa1587634cee40f868,intellective,Person3,66,Let's go with 3500?,False
5d6ecaaa1587634cee40f868,intellective,Person1,70,3500,False
5d6ecaaa1587634cee40f868,intellective,Person3,83,What about #2?,False
5d6ecaaa1587634cee40f868,intellective,Person3,99,More or less than a ton - 2000 lbs?,False
5d6ecaaa1587634cee40f868,intellective,Person4,100,2. 3500 sounds good,False
5d6ecaaa1587634cee40f868,intellective,Person1,105,2.  3000 lbs?,False
5d6ecaaa1587634cee40f868,intellective,Person3,107,Cool,False
5d6ecaaa1587634cee40f868,intellective,Person2,113,I have no idea but sounds about right ,False
5d6ecaaa1587634cee40f868,intellective,Person2,115,they are heavy,False
5d6ecaaa1587634cee40f868,intellective,Person2,123,so 3000 of 3500?,False
5d6ecaaa1587634cee40f868,intellective,Person3,128,3250 ? :),False
5d6ecaaa1587634cee40f868,intellective,Person1,137,3250 is good with me,False
5d6ecaaa1587634cee40f868,intellective,Person4,140,1. 3250 is perfect,False
5d6ecaaa1587634cee40f868,intellective,Person2,144,I agree,False
5d6ecaaa1587634cee40f868,intellective,Person1,144,3.  5 states,False
5d6ecaaa1587634cee40f868,intellective,Person4,152,3. 5 states,False
5d6ecaaa1587634cee40f868,intellective,Person3,157,3. 5 states,False
5d6ecaaa1587634cee40f868,intellective,Person2,175,Seems like you are confident so I am going to trust you on this one lol,False
5d6ecaaa1587634cee40f868,intellective,Person1,181,4.  no clue,False
5d6ecaaa1587634cee40f868,intellective,Person3,198,4. no clue but I am guessing a lot?,False
5d6ecaaa1587634cee40f868,intellective,Person1,206,maybe 2 months?  I think they are similar in latitude to Alaska,False
5d6ecaaa1587634cee40f868,intellective,Person2,209,maybe all winter months?,False
5d6ecaaa1587634cee40f868,intellective,Person3,212,so 3?,False
5d6ecaaa1587634cee40f868,intellective,Person1,215,sure,False
5d6ecaaa1587634cee40f868,intellective,Person2,219,"I bet they only have 2 season,",False
5d6ecaaa1587634cee40f868,intellective,Person2,227,but yeah 3 sounds like a good guess,False
5d6ecaaa1587634cee40f868,intellective,Person4,229,"4. Norway, geez, I agree with the Alaska statement, so 3",False
5d6ecaaa1587634cee40f868,intellective,Person1,230,3 it is,False
5d6ecaaa1587634cee40f868,intellective,Person3,240,great,False
5d6ecaaa1587634cee40f868,intellective,Person1,257,5.  130° maybe,False
5d6ecaaa1587634cee40f868,intellective,Person2,258,what about #5?,False
5d6ecaaa1587634cee40f868,intellective,Person3,260,5. 135?,False
5d6ecaaa1587634cee40f868,intellective,Person3,268,"I'm thinking death valley, CA",False
5d6ecaaa1587634cee40f868,intellective,Person2,277,Yeah definetely death valley ,False
5d6ecaaa1587634cee40f868,intellective,Person2,283,I think thats like the hottest place on earth ,False
5d6ecaaa1587634cee40f868,intellective,Person4,286,"Highest temperature recorded in the Us, Deserts, 135 sounds good.",False
5d6ecaaa1587634cee40f868,intellective,Person1,296,okie dokie :),False
5d6ecaaa1587634cee40f868,intellective,Person3,308,"Good job, all",False
5d6ecaaa1587634cee40f868,intellective,Person2,311,"ok so we agree on all 5 of them then, nice team work ",False
5d6ecaaa1587634cee40f868,intellective,Person1,321,nicely done,False
5d6ecaaa1587634cee40f868,intellective,Person4,325,Did someone write that down?,False
5d6ecaaa1587634cee40f868,intellective,Person3,350,1. 3500,False
5d6ecaaa1587634cee40f868,intellective,Person3,354,2. 3250,False
5d6ecaaa1587634cee40f868,intellective,Person3,356,3. 5,False
5d6ecaaa1587634cee40f868,intellective,Person3,359,4. 3,False
5d6ecaaa1587634cee40f868,intellective,Person3,363,5. 135,False
5d6ecaaa1587634cee40f868,intellective,Person1,367,1:  3500  2:  3250  3:  5  4:  3  5:  135,False
5d6ecaaa1587634cee40f868,intellective,Person4,381,Awesome!,False
5d6ecaaa1587634cee40f868,intellective,Person2,495,1: 3500,False
5d6ecaaa1587634cee40f868,intellective,Person1,496,1:  3500,False
5d6ecaaa1587634cee40f868,intellective,Person2,501,2: 3250,False
5d6ecaaa1587634cee40f868,intellective,Person1,502,2:  3250,False
5d6ecaaa1587634cee40f868,intellective,Person2,506,3: 5,False
5d6ecaaa1587634cee40f868,intellective,Person1,506,3:  5,False
5d6ecaaa1587634cee40f868,intellective,Person2,511,4: 3,False
5d6ecaaa1587634cee40f868,intellective,Person1,512,4:  3,False
5d6ecaaa1587634cee40f868,intellective,Person4,514,5.135,False
5d6ecaaa1587634cee40f868,intellective,Person3,515,1: 3500,False
5d6ecaaa1587634cee40f868,intellective,Person2,517,5: 135,False
5d6ecaaa1587634cee40f868,intellective,Person1,517,5:  135,False
5d6ecaaa1587634cee40f868,intellective,Person3,519,2: 3250,False
5d6ecaaa1587634cee40f868,intellective,Person4,523,1. 3000,False
5d6ecaaa1587634cee40f868,intellective,Person3,524,3: 5,False
5d6ecaaa1587634cee40f868,intellective,Person3,525,4: 3,False
5d6ecaaa1587634cee40f868,intellective,Person4,527,2. 325660,False
5d6ecaaa1587634cee40f868,intellective,Person4,529,3. 5,False
5d6ecaaa1587634cee40f868,intellective,Person3,529,5: 135,False
5d6ecaaa1587634cee40f868,intellective,Person4,532,4. 3,False
5d6ecaaa1587634cee40f868,intellective,Person4,564,1. 3000,False
5d6ecaaa1587634cee40f868,intellective,Person1,578,farewell fellow adventurers,False
5d6ecaaa1587634cee40f868,intellective,Person4,589,G/Bye! Had fun!,False
5d6ecaaa1587634cee40f869,intellective,Person1,11,hi,False
5d6ecaaa1587634cee40f869,intellective,Person2,24,hello,False
5d6ecaaa1587634cee40f869,intellective,Person3,37,yo,False
5d6ecaaa1587634cee40f869,intellective,Person3,43,any ideas for #1?,False
5d6ecaaa1587634cee40f869,intellective,Person1,57,im thinking 2 million or so?,False
5d6ecaaa1587634cee40f869,intellective,Person3,95,sounds good. what %^though,False
5d6ecaaa1587634cee40f869,intellective,Person2,98,it needs to be a % i think 4%?,False
5d6ecaaa1587634cee40f869,intellective,Person1,114,4% works,False
5d6ecaaa1587634cee40f869,intellective,Person2,136,2? - 7000?,False
5d6ecaaa1587634cee40f869,intellective,Person1,139,"number 2, 7,000",False
5d6ecaaa1587634cee40f869,intellective,Person1,144,thats funny,False
5d6ecaaa1587634cee40f869,intellective,Person2,147,lol,False
5d6ecaaa1587634cee40f869,intellective,Person3,168,"12,000 is what i'd say",False
5d6ecaaa1587634cee40f869,intellective,Person2,171,3 - 30?,False
5d6ecaaa1587634cee40f869,intellective,Person3,173,that's what tire dealerships  estimate,False
5d6ecaaa1587634cee40f869,intellective,Person4,179,50 gallons for 3?,False
5d6ecaaa1587634cee40f869,intellective,Person2,195,lets do 40?,False
5d6ecaaa1587634cee40f869,intellective,Person2,206,not everybosy showers lol,False
5d6ecaaa1587634cee40f869,intellective,Person1,208,"so what did we decide for 2- 10,000 in between 7 and 12?",False
5d6ecaaa1587634cee40f869,intellective,Person4,218,sounds good,False
5d6ecaaa1587634cee40f869,intellective,Person1,220,yes 40 for 3,False
5d6ecaaa1587634cee40f869,intellective,Person3,234,40 is good,False
5d6ecaaa1587634cee40f869,intellective,Person2,239,"so 2 -10,000?",False
5d6ecaaa1587634cee40f869,intellective,Person1,248,yes,False
5d6ecaaa1587634cee40f869,intellective,Person3,249,sure,False
5d6ecaaa1587634cee40f869,intellective,Person2,252,ok,False
5d6ecaaa1587634cee40f869,intellective,Person1,256,"4, 3000 pounds?",False
5d6ecaaa1587634cee40f869,intellective,Person3,258,4. 2500?,False
5d6ecaaa1587634cee40f869,intellective,Person1,266,2500 is good,False
5d6ecaaa1587634cee40f869,intellective,Person1,304,any ideas on 5 i have no idea,False
5d6ecaaa1587634cee40f869,intellective,Person3,325,I should know this. I just took a macro economics class,False
5d6ecaaa1587634cee40f869,intellective,Person3,330,I don't remember though,False
5d6ecaaa1587634cee40f869,intellective,Person4,335,like 100 million or something?,False
5d6ecaaa1587634cee40f869,intellective,Person2,348,i think 150 million,False
5d6ecaaa1587634cee40f869,intellective,Person3,357,Let's do 150 mil,False
5d6ecaaa1587634cee40f869,intellective,Person2,361,cool,False
5d6ecaaa1587634cee40f869,intellective,Person1,363,"1: 4% 2: 10,000 3: 40 4: 2500 5: 150 million",False
5d6ecaaa1587634cee40f869,intellective,Person2,376,1: 4%,False
5d6ecaaa1587634cee40f869,intellective,Person2,384,"2: 10,000",False
5d6ecaaa1587634cee40f869,intellective,Person2,397,3: 40,False
5d6ecaaa1587634cee40f869,intellective,Person1,398,1: 4 ,False
5d6ecaaa1587634cee40f869,intellective,Person3,401,thanks,False
5d6ecaaa1587634cee40f869,intellective,Person1,405,"2: 10,000",False
5d6ecaaa1587634cee40f869,intellective,Person1,409,3: 40,False
5d6ecaaa1587634cee40f869,intellective,Person2,412,4: 2500,False
5d6ecaaa1587634cee40f869,intellective,Person1,415,4: 2500,False
5d6ecaaa1587634cee40f869,intellective,Person2,422,5: 150 million,False
5d6ecaaa1587634cee40f869,intellective,Person1,422,5: 150 million,False
5d6ecaaa1587634cee40f869,intellective,Person2,432,great job guys!,False
5d6ecaaa1587634cee40f869,intellective,Person3,451,nj all,False
5d6ecaaa1587634cee40f86a,creative,Person1,45,Can you please send me the link because my computer is having difficulty with scrolling up.  Thanks,True
5d6ecaaa1587634cee40f86a,creative,Person1,69,Just copy paste the link and I'll look at it in a new tab.  Hello everyone!,True
5d6ecaaa1587634cee40f86a,creative,Person2,75,Where Time is Written in Everything,True
5d6ecaaa1587634cee40f86a,creative,Person2,87,https://www.kickstarter.com/projects/letbco/letb-color-take-a-look-at-time-in-different-ways,True
5d6ecaaa1587634cee40f86a,creative,Person3,94,"hi all everyone toss in an idea .  heres my link, do you all have the same link so we know we are all working on the same project: https://www.kickstarter.com/projects/letbco/letb-color-take-a-look-at-time-in-different-ways",True
5d6ecaaa1587634cee40f86a,creative,Person4,95,I like where time is written,True
5d6ecaaa1587634cee40f86a,creative,Person4,123,or time the way you want,True
5d6ecaaa1587634cee40f86a,creative,Person1,132,Cool clock.  More of an art piece than a functional piece.  I dig it.,True
5d6ecaaa1587634cee40f86a,creative,Person3,141,"just provide your ad line, do not preface it with I like as it is waste of time.",True
5d6ecaaa1587634cee40f86a,creative,Person1,160,Okay fine.  How many words do we have?,True
5d6ecaaa1587634cee40f86a,creative,Person1,167,How many characters?,True
5d6ecaaa1587634cee40f86a,creative,Person2,199,30.  Maybe you should return this hit if you are unable to do it properly.,True
5d6ecaaa1587634cee40f86a,creative,Person1,221,My slogan is: Textual Time: A Modern Timepiece,True
5d6ecaaa1587634cee40f86a,creative,Person2,222,"""Where time is written"" is good too, shortens it",True
5d6ecaaa1587634cee40f86a,creative,Person2,254,I think that's too plain for something so unique,True
5d6ecaaa1587634cee40f86a,creative,Person4,260,where time is written is within 30 characters,True
5d6ecaaa1587634cee40f86a,creative,Person1,263,"I can do the hit properly young Person6 ; what do you think about ""textual time""",True
5d6ecaaa1587634cee40f86a,creative,Person1,302,What are your opinions?,True
5d6ecaaa1587634cee40f86a,creative,Person4,303,how about story of time,True
5d6ecaaa1587634cee40f86a,creative,Person2,329,I don't think 'textual time' is catch or informative.  I think they'd want something more enchanting or captivating for this type of product,True
5d6ecaaa1587634cee40f86a,creative,Person3,329,"This is a COOL CLOCK!  Change colors, LetB Color...a clock for the artist in you!",True
5d6ecaaa1587634cee40f86a,creative,Person4,384,I would go with either where time is written or story of time,True
5d6ecaaa1587634cee40f86a,creative,Person2,402,Where the story of time is written,True
5d6ecaaa1587634cee40f86a,creative,Person1,420,"Call it ""Get With the Time: Beautiful Led Bluetooth Clock""",True
5d6ecaaa1587634cee40f86a,creative,Person3,444,"This is a COOL CLOCK, an uber-modern timepiece. Change the colors and LetB Color be aa clock for the artist in you!",True
5d6ecaaa1587634cee40f86a,creative,Person2,447,You do not want your marketing tag line to be a physical description of the product. ,True
5d6ecaaa1587634cee40f86a,creative,Person4,448,is the where the story of time is written over 30 charactes?,True
5d6ecaaa1587634cee40f86a,creative,Person2,455,That's too long Person7 it has to be 30 characters,True
5d6ecaaa1587634cee40f86a,creative,Person4,462,I like the where the story of time is written,True
5d6ecaaa1587634cee40f86a,creative,Person4,467,that sounds classy,True
5d6ecaaa1587634cee40f86a,creative,Person4,473,and catchy ,True
5d6ecaaa1587634cee40f86a,creative,Person4,483,it can be a good ad locan,True
5d6ecaaa1587634cee40f86a,creative,Person1,490,Get With The Time: Classy LED Clock,True
5d6ecaaa1587634cee40f86a,creative,Person4,508,it can be a good ad logan I meant,True
5d6ecaaa1587634cee40f86a,creative,Person1,516,Submit something,True
5d6ecaaa1587634cee40f86a,creative,Person4,518,let's go with where the story of times is written,True
5d6ecaaa1587634cee40f86a,creative,Person1,525,too long,True
5d6ecaaa1587634cee40f86a,creative,Person2,531,It's a couple over,True
5d6ecaaa1587634cee40f86a,creative,Person4,534,It is under 30 character,True
5d6ecaaa1587634cee40f86a,creative,Person3,537,what does sotry of time have to do with it,True
5d6ecaaa1587634cee40f86a,creative,Person4,544,where the story of time is written,True
5d6ecaaa1587634cee40f86a,creative,Person1,550,Lets call it : Get with the Time,True
5d6ecaaa1587634cee40f86a,creative,Person4,551,because the clock tell times in different ways,True
5d6ecaaa1587634cee40f86a,creative,Person3,552,who is going to submit,True
5d6ecaaa1587634cee40f86a,creative,Person1,566,"Me : ""Get With the Time""",True
5d6ecaaa1587634cee40f86a,creative,Person4,575,vote,True
5d6ecaaa1587634cee40f86a,creative,Person3,576,!Get with the Time.  LetB Color be Your clock,True
5d6ecaaa1587634cee40f86a,creative,Person2,580,!How The Story of Time is Written,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,46,hi,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,46,I LIKE FOR MUSIC ,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,52,hello,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,58,HELLO,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person4,59,Hi,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,64,"relevant username, snappy",True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,71,lol,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,89,guess i know whoch one of us is human now,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,99,OK WELL ME FOR MUSIC YOU ALL LIKE ,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,108,NO,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,111,YOU,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person4,121,"I think arts and music are very important, a little less so the art gallery",True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,128,I like 1 and 3,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,128,150k/150k/200k,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person4,145,200/150/150,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,153,"agred, Person4",True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,156,155K/200/250,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,159,"If yo put into 1, then you don't need to so much for 2....use that art",True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,165,*you,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,178,YOU 1ST MOVE ,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,207,"LION, AGREE WITH 200/150/150?",True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,232,II say 200/100/200,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,241,"close enough, ",True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,244,lion?,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person4,262,200/100/200 is ok with me,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,272,100/150/175,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,280,Person5 be a team player,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,289,YES,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,292,that dont add up to 500k either,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person2,316,YOU LIKE HIS JOB,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,330,STOP SNAPPING AT ME,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,358,1: $200000 arts are important,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,376,2: $100000 displays cost a lot,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,398,3: $200000 help the vets because they're vets,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,411,That sounds good to me.  That gets my vote.,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person4,421,my vote too,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,500,1: $200000 arts are important 2: $100000 displays cost a lot 3: $200000 help the vets because they're vets,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person5,546,YES,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person1,571,gday mates,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person3,574,Bye everyone,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person5,583,OK BYE,True
5d6ecaaa1587634cee40f86b,cognitive-conflic,Person4,589,byee,True
5d6ecaaa1587634cee40f86c,creative,Person1,114,We could use shape shift to our advantage,False
5d6ecaaa1587634cee40f86c,creative,Person2,134,It appears to be quite modern in design.,False
5d6ecaaa1587634cee40f86c,creative,Person3,140,hello,False
